datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 01:50:52,2025-06-23,01:50:52,in,0.96,1310.8,0.0,20.4,6.295,329.1,1.32
2025-06-23 01:51:43,2025-06-23,01:51:43,out,0.95,20.2,100.0,20.2,20.213,7.2,1.4
2025-06-23 01:51:56,2025-06-23,01:51:56,in,0.96,1310.8,0.0,20.4,6.295,329.1,1.32
2025-06-23 01:52:46,2025-06-23,01:52:46,out,0.82,20.2,100.0,20.2,20.213,14.7,1.23
2025-06-23 01:53:00,2025-06-23,01:53:00,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:53:50,2025-06-23,01:53:50,out,0.88,20.2,100.0,20.2,20.213,5.8,1.27
2025-06-23 01:54:04,2025-06-23,01:54:04,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:54:54,2025-06-23,01:54:54,out,1.09,20.2,100.0,20.2,20.213,7.3,1.22
2025-06-23 01:55:07,2025-06-23,01:55:07,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:55:57,2025-06-23,01:55:57,out,0.95,20.2,100.0,20.2,20.213,7.1,1.29
2025-06-23 01:56:10,2025-06-23,01:56:10,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:57:00,2025-06-23,01:57:00,out,1.14,20.2,100.0,20.2,20.213,26.5,1.4
2025-06-23 01:57:14,2025-06-23,01:57:14,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:58:04,2025-06-23,01:58:04,out,0.98,20.1,100.0,20.1,20.112,5.9,1.15
2025-06-23 01:58:18,2025-06-23,01:58:18,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 01:59:08,2025-06-23,01:59:08,out,1.05,20.1,100.0,20.1,20.112,9.4,1.18
2025-06-23 01:59:21,2025-06-23,01:59:21,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 02:00:11,2025-06-23,02:00:11,out,1.0,20.1,100.0,20.1,20.112,17.1,1.15
2025-06-23 02:00:24,2025-06-23,02:00:24,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 02:01:14,2025-06-23,02:01:14,out,0.73,20.1,100.0,20.1,20.112,28.5,1.03
2025-06-23 02:01:28,2025-06-23,02:01:28,in,0.96,1310.8,0.0,20.3,6.253,329.1,1.32
2025-06-23 02:02:18,2025-06-23,02:02:18,out,1.06,20.1,100.0,20.1,20.112,26.0,1.29
2025-06-23 02:02:32,2025-06-23,02:02:32,in,0.96,1310.8,0.0,20.2,6.212,329.1,1.32
2025-06-23 02:03:22,2025-06-23,02:03:22,out,1.03,20.0,100.0,20.0,20.012,23.6,1.36
2025-06-23 02:03:35,2025-06-23,02:03:35,in,0.96,1310.8,0.0,20.2,6.212,329.1,1.32
2025-06-23 02:04:25,2025-06-23,02:04:25,out,1.02,20.0,100.0,20.0,20.012,34.7,1.27
2025-06-23 02:04:38,2025-06-23,02:04:38,in,0.96,1310.8,0.0,20.2,6.212,329.1,1.32
2025-06-23 02:05:28,2025-06-23,02:05:28,out,1.1,20.0,100.0,20.0,20.012,35.2,1.28
2025-06-23 02:05:42,2025-06-23,02:05:42,in,0.96,1310.8,0.0,20.1,6.17,329.1,1.32
2025-06-23 02:06:32,2025-06-23,02:06:32,out,0.97,20.0,100.0,20.0,20.012,37.4,1.24
2025-06-23 02:06:46,2025-06-23,02:06:46,in,0.96,1310.8,0.0,20.1,6.17,329.1,1.32
2025-06-23 02:07:36,2025-06-23,02:07:36,out,0.62,20.0,100.0,20.0,20.012,59.4,0.96
2025-06-23 02:07:49,2025-06-23,02:07:49,in,0.96,1310.8,0.0,20.2,6.212,329.1,1.32
